Time (s),Amplitude
0.0,-84408
6.250406927534345e-05,-90744
0.0001250081385506869,-80488
0.00018751220782603034,-56648
0.0002500162771013738,-23864
0.00031252034637671724,13168
0.0003750244156520607,47208
0.00043752848492740413,76328
0.0005000325542027476,94184
0.000562536623478091,97896
0.0006250406927534345,87824
0.000687544762028778,64360
0.0007500488313041214,33656
0.0008125529005794648,-2880
0.0008750569698548083,-38488
0.0009375610391301518,-67776
0.0010000651084054952,-88072
0.0010625691776808385,-92808
0.001125073246956182,-81960
0.0011875773162315255,-57968
0.001250081385506869,-25416
0.0013125854547822123,9840
0.001375089524057556,44752
0.0014375935933328993,72384
0.0015000976626082427,91256
0.0015626017318835861,96776
0.0016251058011589295,86360
0.0016876098704342731,64344
0.0017501139397096165,33480
0.00181261800898496,-2256
0.0018751220782603035,-36160
0.001937626147535647,-64928
0.0020001302168109903,-83088
0.0020626342860863337,-89592
0.002125138355361677,-80992
0.0021876424246370205,-57192
0.002250146493912364,-25792
0.0023126505631877077,10544
0.002375154632463051,44368
0.0024376587017383945,72600
0.002500162771013738,92248
0.0025626668402890813,96280
0.0026251709095644247,86832
0.002687674978839768,64544
0.002750179048115112,32592
0.0028126831173904553,-2560
0.0028751871866657987,-35928
0.002937691255941142,-65920
0.0030001953252164855,-83800
0.003062699394491829,-89584
0.0031252034637671722,-78168
0.0031877075330425156,-55824
0.003250211602317859,-24624
0.003312715671593203,10144
0.0033752197408685462,43176
0.0034377238101438896,71320
0.003500227879419233,89080
0.0035627319486945764,94280
0.00362523601796992,85232
0.003687740087245263,63696
0.003750244156520607,33784
0.0038127482257959504,-1096
0.003875252295071294,-35888
0.003937756364346637,-64440
0.004000260433621981,-84280
0.0040627645028973244,-90288
0.004125268572172667,-79592
0.004187772641448011,-55864
0.004250276710723354,-25056
0.004312780779998698,9368
0.004375284849274041,43896
0.004437788918549385,71816
0.004500292987824728,89760
0.004562797057100072,94936
0.004625301126375415,85432
0.004687805195650758,63568
0.004750309264926102,33616
0.004812813334201445,-1712
0.004875317403476789,-35032
0.004937821472752132,-63048
0.005000325542027476,-81360
0.00506282961130282,-86520
0.0051253336805781625,-76368
0.005187837749853506,-52696
0.005250341819128849,-22536
0.005312845888404193,9672
0.005375349957679536,42264
0.00543785402695488,70256
0.005500358096230224,87336
0.005562862165505567,92736
0.0056253662347809106,84584
0.0056878703040562535,61936
0.005750374373331597,31848
0.00581287844260694,-1608
0.005875382511882284,-35568
0.005937886581157627,-64872
0.006000390650432971,-85472
0.006062894719708315,-89744
0.006125398788983658,-79008
0.0061879028582590015,-54992
0.0062504069275343445,-23728
0.006312910996809688,9488
0.006375415066085031,40968
0.006437919135360375,67168
0.006500423204635718,83368
0.006562927273911062,88208
0.006625431343186406,80504
0.006687935412461749,58136
0.0067504394817370925,28568
0.0068129435510124355,-4120
0.006875447620287779,-36880
0.006937951689563122,-64376
0.007000455758838466,-83544
0.00706295982811381,-87904
0.007125463897389153,-77784
0.007187967966664497,-54896
0.00725047203593984,-23736
0.0073129761052151835,10544
0.007375480174490526,44160
0.00743798424376587,70808
0.007500488313041214,87184
0.007562992382316557,90800
0.007625496451591901,80064
0.007688000520867244,57208
0.007750504590142588,27712
0.007813008659417931,-6144
0.007875512728693274,-39928
0.007938016797968617,-69184
0.008000520867243961,-87728
0.008063024936519305,-92112
0.008125529005794649,-81584
0.008188033075069991,-57016
0.008250537144345335,-25856
0.008313041213620679,6904
0.008375545282896022,39248
0.008438049352171365,66824
0.008500553421446708,85192
0.008563057490722052,91216
0.008625561559997396,82208
0.00868806562927274,61840
0.008750569698548082,31472
0.008813073767823426,-2440
0.00887557783709877,-35048
0.008938081906374113,-64456
0.009000585975649456,-83256
0.0090630900449248,-86416
0.009125594114200143,-75536
0.009188098183475487,-54576
0.00925060225275083,-25896
0.009313106322026173,6944
0.009375610391301517,37944
0.00943811446057686,65760
0.009500618529852204,83808
0.009563122599127548,89272
0.00962562666840289,80064
0.009688130737678234,59368
0.009750634806953578,29608
0.009813138876228922,-3808
0.009875642945504264,-36192
0.009938147014779608,-64624
0.010000651084054952,-81928
0.010063155153330295,-87792
0.01012565922260564,-79608
0.010188163291880981,-55504
0.010250667361156325,-25816
0.010313171430431669,8384
0.010375675499707013,40728
0.010438179568982355,67432
0.010500683638257699,84072
0.010563187707533042,88544
0.010625691776808386,80104
0.01068819584608373,57944
0.010750699915359072,27792
0.010813203984634416,-4856
0.01087570805390976,-37200
0.010938212123185104,-64832
0.011000716192460448,-82968
0.01106322026173579,-87744
0.011125724331011133,-77976
0.011188228400286477,-56360
0.011250732469561821,-26000
0.011313236538837163,6920
0.011375740608112507,38352
0.01143824467738785,65656
0.011500748746663195,82640
0.011563252815938539,86784
0.01162575688521388,77888
0.011688260954489224,56960
0.011750765023764568,27064
0.011813269093039912,-6792
0.011875773162315254,-39360
0.011938277231590598,-65456
0.012000781300865942,-83272
0.012063285370141286,-89896
0.01212578943941663,-78792
0.012188293508691972,-55376
0.012250797577967315,-25776
0.01231330164724266,8464
0.012375805716518003,40744
0.012438309785793345,67544
0.012500813855068689,84736
0.012563317924344033,89816
0.012625821993619377,79536
0.01268832606289472,57216
0.012750830132170063,27576
0.012813334201445406,-6032
0.01287583827072075,-38432
0.012938342339996094,-65120
0.013000846409271436,-84088
0.01306335047854678,-90272
0.013125854547822124,-79936
0.013188358617097468,-57208
0.013250862686372811,-27928
0.013313366755648154,4952
0.013375870824923497,36632
0.013438374894198841,65176
0.013500878963474185,83648
0.013563383032749529,88200
0.013625887102024871,79688
0.013688391171300215,58936
0.013750895240575559,28872
0.013813399309850902,-5632
0.013875903379126244,-37344
0.013938407448401588,-65880
0.014000911517676932,-84600
0.014063415586952276,-89192
0.01412591965622762,-79664
0.014188423725502962,-57496
0.014250927794778306,-27920
0.01431343186405365,4440
0.014375935933328993,36760
0.014438440002604335,64040
0.01450094407187968,81656
0.014563448141155023,87048
0.014625952210430367,79152
0.01468845627970571,57320
0.014750960348981053,26416
0.014813464418256397,-7360
0.01487596848753174,-38808
0.014938472556807084,-67960
0.015000976626082428,-86480
0.01506348069535777,-91672
0.015125984764633114,-81872
0.015188488833908458,-58536
0.015250992903183802,-28800
0.015313496972459144,4304
0.015376001041734488,37256
0.015438505111009831,63296
0.015501009180285175,81488
0.015563513249560519,87336
0.015626017318835863,77968
0.015688521388111207,55696
0.015751025457386547,26120
0.01581352952666189,-7832
0.015876033595937235,-38832
0.01593853766521258,-66360
0.016001041734487922,-86176
0.016063545803763266,-90936
0.01612604987303861,-81488
0.016188553942313954,-60584
0.016251058011589298,-30064
0.016313562080864638,3344
0.016376066150139982,36304
0.016438570219415326,64624
0.01650107428869067,82168
0.016563578357966013,87712
0.016626082427241357,79232
0.0166885864965167,56800
0.016751090565792045,26480
0.01681359463506739,-6224
0.01687609870434273,-39800
0.016938602773618073,-67056
0.017001106842893417,-84360
0.01706361091216876,-89912
0.017126114981444104,-80776
0.017188619050719448,-58424
0.017251123119994792,-28472
0.017313627189270136,4688
0.01737613125854548,36312
0.01743863532782082,62688
0.017501139397096164,81208
0.017563643466371508,86384
0.01762614753564685,77488
0.017688651604922195,57832
0.01775115567419754,27976
0.017813659743472883,-5176
0.017876163812748227,-37104
0.01793866788202357,-65272
0.01800117195129891,-82312
0.018063676020574255,-89480
0.0181261800898496,-80088
0.018188684159124942,-58000
0.018251188228400286,-29232
0.01831369229767563,4984
0.018376196366950974,37848
0.018438700436226318,63792
0.01850120450550166,81280
0.018563708574777005,86672
0.018626212644052346,76880
0.01868871671332769,56824
0.018751220782603033,27128
0.018813724851878377,-6152
0.01887622892115372,-36816
0.018938732990429065,-62120
0.01900123705970441,-80696
0.019063741128979753,-87240
0.019126245198255096,-77392
0.019188749267530437,-57096
0.01925125333680578,-26912
0.019313757406081124,5960
0.019376261475356468,37120
0.019438765544631812,64528
0.019501269613907156,81168
0.0195637736831825,86376
0.019626277752457844,77728
0.019688781821733187,55200
0.019751285891008528,25624
0.01981378996028387,-6560
0.019876294029559215,-39392
0.01993879809883456,-66616
0.020001302168109903,-84832
0.020063806237385247,-89496
0.02012631030666059,-79720
0.020188814375935935,-57760
0.02025131844521128,-27128
0.02031382251448662,5808
0.020376326583761963,36232
0.020438830653037306,62384
0.02050133472231265,80200
0.020563838791587994,84296
0.020626342860863338,75304
0.02068884693013868,54624
0.020751350999414025,25400
0.02081385506868937,-6464
0.02087635913796471,-38544
0.020938863207240054,-66560
0.021001367276515397,-86344
0.02106387134579074,-91752
0.021126375415066085,-80768
0.02118887948434143,-58768
0.021251383553616773,-29720
0.021313887622892116,3832
0.02137639169216746,36592
0.0214388957614428,62104
0.021501399830718144,79424
0.02156390389999349,84264
0.021626407969268832,74664
0.021688912038544176,54872
0.02175141610781952,25552
0.021813920177094864,-7472
0.021876424246370207,-39512
0.02193892831564555,-65632
0.022001432384920895,-81792
0.022063936454196235,-87992
0.02212644052347158,-79688
0.022188944592746923,-57400
0.022251448662022267,-27336
0.02231395273129761,5552
0.022376456800572955,36720
0.0224389608698483,64248
0.022501464939123642,81648
0.022563969008398986,86704
0.022626473077674326,76880
0.02268897714694967,54728
0.022751481216225014,25336
0.022813985285500358,-7288
0.0228764893547757,-38584
0.022938993424051046,-65952
0.02300149749332639,-84336
0.023064001562601733,-89064
0.023126505631877077,-79288
0.023189009701152417,-56640
0.02325151377042776,-26768
0.023314017839703105,5808
0.02337652190897845,37352
0.023439025978253793,65080
0.023501530047529137,82272
0.02356403411680448,87384
0.023626538186079824,79840
0.023689042255355168,59392
0.02375154632463051,29552
0.023814050393905852,-3528
0.023876554463181196,-35944
0.02393905853245654,-64248
0.024001562601731884,-82792
0.024064066671007227,-87520
0.02412657074028257,-78112
0.024189074809557915,-57360
0.02425157887883326,-28704
0.0243140829481086,5040
0.024376587017383943,36856
0.024439091086659287,63528
0.02450159515593463,81472
0.024564099225209975,85608
0.02462660329448532,75688
0.024689107363760662,54592
0.024751611433036006,25472
0.02481411550231135,-6656
0.02487661957158669,-38208
0.024939123640862034,-65272
0.025001627710137378,-81720
0.025064131779412722,-87392
0.025126635848688066,-79352
0.02518913991796341,-57760
0.025251643987238753,-26976
0.025314148056514097,5936
0.02537665212578944,37576
0.02543915619506478,63512
0.025501660264340125,79968
0.02556416433361547,83504
0.025626668402890813,76288
0.025689172472166157,55960
0.0257516765414415,26272
0.025814180610716844,-5760
0.025876684679992188,-36520
0.025939188749267532,-63072
0.026001692818542872,-80200
0.026064196887818216,-86216
0.02612670095709356,-77224
0.026189205026368904,-56128
0.026251709095644248,-27240
0.02631421316491959,6280
0.026376717234194935,37144
0.02643922130347028,63696
0.026501725372745623,80752
0.026564229442020967,84768
0.026626733511296307,75592
0.02668923758057165,53400
0.026751741649846995,23688
0.02681424571912234,-8704
0.026876749788397682,-39896
0.026939253857673026,-65312
0.02700175792694837,-82792
0.027064261996223714,-86952
0.027126766065499058,-77320
0.027189270134774398,-54688
0.027251774204049742,-24960
0.027314278273325086,8600
0.02737678234260043,38304
0.027439286411875773,63568
0.027501790481151117,81088
0.02756429455042646,86248
0.027626798619701805,77640
0.02768930268897715,56928
0.02775180675825249,27016
0.027814310827527833,-6104
0.027876814896803177,-39720
0.02793931896607852,-67304
0.028001823035353864,-84824
0.028064327104629208,-90344
0.028126831173904552,-79408
0.028189335243179896,-56016
0.02825183931245524,-26744
0.02831434338173058,5952
0.028376847451005924,38792
0.028439351520281268,65008
0.02850185558955661,81392
0.028564359658831955,87088
0.0286268637281073,78624
0.028689367797382643,57192
0.028751871866657987,29104
0.02881437593593333,-2360
0.02887688000520867,-34952
0.028939384074484015,-63112
0.02900188814375936,-80744
0.029064392213034702,-85816
0.029126896282310046,-75192
0.02918940035158539,-53816
0.029251904420860734,-24984
0.029314408490136078,7192
0.02937691255941142,38712
0.029439416628686762,65120
0.029501920697962106,81984
0.02956442476723745,86576
0.029626928836512793,77544
0.029689432905788137,57040
0.02975193697506348,28432
0.029814441044338825,-3512
0.02987694511361417,-36096
0.029939449182889512,-64232
0.030001953252164856,-82632
0.030064457321440197,-87952
0.03012696139071554,-77848
0.030189465459990884,-56240
0.030251969529266228,-26672
0.030314473598541572,6792
0.030376977667816916,38376
0.03043948173709226,64248
0.030501985806367603,80544
0.030564489875642947,85320
0.030626993944918288,76272
0.03068949801419363,55768
0.030752002083468975,26648
0.03081450615274432,-6000
0.030877010222019663,-36992
0.030939514291295007,-64592
0.03100201836057035,-82616
0.031064522429845694,-87616
0.031127026499121038,-78544
0.03118953056839638,-56392
0.031252034637671726,-25680
0.031314538706947066,7952
0.031377042776222414,39128
0.031439546845497754,66448
0.031502050914773094,84016
0.03156455498404844,88296
0.03162705905332378,79744
0.03168956312259913,58784
0.03175206719187447,29360
0.03181457126114982,-3336
0.03187707533042516,-35264
0.031939579399700505,-63408
0.032002083468975845,-81360
0.032064587538251185,-86520
0.03212709160752653,-76768
0.03218959567680187,-55384
0.03225209974607722,-25552
0.03231460381535256,7592
0.03237710788462791,39016
0.03243961195390325,65096
0.032502116023178595,81448
0.032564620092453936,86968
0.032627124161729276,78760
0.032689628231004624,56864
0.032752132300279964,27864
0.03281463636955531,-5936
0.03287714043883065,-37880
0.032939644508106,-65144
0.03300214857738134,-83688
0.033064652646656686,-88544
